,ROLE,ACTOR NAME,DETAILS,LINKS,DESCRIPTION
30,Actor,Kumud Mishra,"Top Rated Movies:1)Airlift (2016) 8.1/10
2)1971 (2007) 8/10
3)M.S. Dhoni: The Untold Story (2016) 7.8/10
4)Rockstar (2011) 7.6/10
5)Raanjhanaa (2013) 7.6/10
6)Badlapur (2015) 7.5/10
7)Jolly LLB 2 (2017) 7.3/10
8)Filmistaan (2012) 7.3/10
9)Sultan (2016) 7.1/10
10)Rustom (2016) 7.1/10Next Movies:1)One Day: Justice Delivered (2018)","https://m.media-amazon.com/images/M/MV5BNWY2YTdhY2QtMzMxMS00MjNhLTgxYmQtMjM2OGM4MjczNzBmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR16,0,140,209_AL_.jpg
","Kumud Mishra is an actor, known for Sultan (2016), Rockstar (2011) and Raanjhanaa (2013)."
31,Actor,Rajat Kapoor,"Top Rated Movies:1)Drishyam (2015) 8.3/10
2)Dil Chahta Hai (2001) 8.2/10
3)Ankhon Dekhi (2013) 8/10
4)Dasvidaniya (2008) 7.9/10
5)Kapoor & Sons (2016) 7.8/10
6)Bheja Fry (2007) 7.7/10
7)Jaane Tu... Ya Jaane Na (2008) 7.5/10
8)Phas Gaye Re Obama (2010) 7.5/10
9)Monsoon Wedding (2001) 7.4/10
10)Waiting (2015) 7.2/10","https://m.media-amazon.com/images/M/MV5BNDBlM2ZiZmEtYzYyMC00ZWNlLTkxMzQtOGFlMzgxZDg5NjdhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR12,0,140,209_AL_.jpg
","Rajat Kapoor was born on February 11, 1961 in New Delhi, India. He is an actor and director, known for Raghu Romeo (2003), Ankhon Dekhi (2013) and Bheja Fry (2007)."
32,Actor,Adil Hussain,"Top Rated Movies:1)Life of Pi (2012) 7.9/10
2)English Vinglish (2012) 7.9/10
3)Parched (2015) 7.6/10
4)Kaminey (2009) 7.4/10
5)Lootera (2013) 7.3/10
6)Ishqiya (2010) 7.3/10
7)Hotel Salvation (2016) 7.3/10Next Movies:1)Maati (2018)
2)2.0 (2019)
3)Love Sonia ???","https://m.media-amazon.com/images/M/MV5BN2Q2YzA4MDMtMzVkYy00ZTMwLTgzN2EtZTc4NTRiODhkNzM3XkEyXkFqcGdeQXVyMjA4ODEzMzE@._V1_UY209_CR17,0,140,209_AL_.jpg
","Adil Hussain is known for his critically acclaimed performances in award winning films such as Ang Lee's Oscar winning Life of Pi, Subhashish Bhutiani's Hotel Salvation/Mukti Bhavan, Iram Haq's What Will People Say, Danis Tanovic's Tigers, Mira Nair's The Reluctant Fundamentalist, Pan Nalin's Angry..."
33,Actor,Ranvir Shorey,"Top Rated Movies:1)Khosla Ka Ghosla! (2006) 8.3/10
2)Dasvidaniya (2008) 7.8/10
3)Bheja Fry (2007) 7.6/10
4)Titli (2014) 7.6/10
5)A Death in the Gunj (2016) 7.5/10
6)Sonchiriya (2019) 7.5/10
7)Manto (2018) 7.4/10
8)No Smoking (2007) 7.2/10
9)Mithya (2008) 7.1/10Next Movies:1)Angrezi Medium (2020)","https://m.media-amazon.com/images/M/MV5BMTIzOTE5MzMyMl5BMl5BanBnXkFtZTcwMjAyNzAyMg@@._V1_UY209_CR87,0,140,209_AL_.jpg
","Ranvir comes from a family of movie professionals. His father is Writer, Producer and Director KD Shorey and He has 2 older Brothers, Lokesh Shorey an actor and Shrinath Shorey a movie Writer and Director. Ranvir though born in Panjab, was raised and educated in Mumbai. He was very active in ..."
34,Actor,Ashutosh Rana,"Top Rated Movies:1)Zakhm (1998) 7.9/10
2)Haasil (2003) 7.6/10
3)Sonchiriya (2019) 7.5/10
4)Ghulam (1998) 7.3/10
5)Awarapan (2007) 7.2/10
6)Dushman (1998) 6.9/10
7)Sangharsh (1999) 6.8/10
8)Mulk (2018) 6.8/10Next Movies:1)Pagglait (2020)
2)Hungama 2 (2020)
3)Prithviraj (2020)
4)Shamshera (2020)","https://m.media-amazon.com/images/M/MV5BMjQ3OTdkY2MtN2NlMC00Y2U2LWE4ODMtOWZlYzRmMzUwN2ExXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_UY209_CR116,0,140,209_AL_.jpg
","Ashutosh Rana born in Gadarwara, Madhya Pradesh is an Indian actor working in the Hindi Film and Telugu Film industry. He finished his Primary School education in Gadarwara and used to play the role of ravana in the city Ramleela. Later, he went to National School of Drama (New Delhi) for acting. ..."
35,Actor,Deepak Dobriyal,"Top Rated Movies:1)Omkara (2006) 8.1/10
2)Maqbool (2003) 8.1/10
3)Gulaal (2009) 8.1/10
4)1971 (2007) 7.9/10
5)Hindi Medium (2017) 7.8/10
6)Tanu Weds Manu Returns (2015) 7.6/10
7)The Blue Umbrella (2005) 7.6/10
8)Laal Kaptaan (2019) 7.4/10
9)Shaurya: It Takes Courage to Make Right... Right (2008) 7.3/10
10)13B: Fear Has a New Address (2009) 7.2/10Next Movies:1)English Medium","https://m.media-amazon.com/images/M/MV5BZDNkOTZiNWQtMzQwMy00MTgyLTlmZTMtYmE5OGFmNzJjOTUzXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10,0,140,209_AL_.jpg
","Deepak Dobriyal is an actor, known for Omkara (2006), Tanu Weds Manu Returns (2015) and Prem Ratan Dhan Payo (2015). He has been married to Lara Bhalla since 2009."
36,Actor,Arshad Warsi,"Top Rated Movies:1)Munna Bhai M.B.B.S. (2003) 8.2/10
2)Lage Raho Munna Bhai (2006) 8.1/10
3)Sehar (2005) 7.8/10
4)Jolly LLB (2013) 7.4/10
5)Golmaal: Fun Unlimited (2006) 7.4/10
6)Ishqiya (2010) 7.3/10
7)Dhamaal (2007) 7.2/10
8)Dedh Ishqiya (2014) 7.1/10Next Movies:1)Pagalpanti (2019)","https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg
","Arshad Warsi was born in Mumbai, India, and did his schooling at a boarding school, Barnes School, Deolali in Nashik district, Maharashtra. He was orphaned at the age of 14 and struggled for a living in Mumbai during his early days.Financial circumstances forced Warsi to start work as a door-to-door..."
37,Actor,Randeep Hooda,"Top Rated Movies:1)Laal Rang (2016) 8/10
2)Highway (2014) 7.6/10
3)Monsoon Wedding (2001) 7.4/10
4)Once Upon a Time in Mumbaai (2010) 7.4/10
5)Sarbjit (2016) 7.2/10
6)Saheb Biwi Aur Gangster (2011) 7.2/10
7)Sultan (2016) 7.1/10
8)Rang Rasiya (2008) 7.1/10Next Movies:1)Love Aaj Kal 2 (2020)
2)21: Battle of Saragarhi ???
3)Shooter ???","https://m.media-amazon.com/images/M/MV5BMjk4NjkxNTkxMl5BMl5BanBnXkFtZTgwMzUwNDA3NDE@._V1_UY209_CR34,0,140,209_AL_.jpg
","Randeep Hooda was born in a small village called Daseya in the Rohtak district of Haryana. His mother, Asha Hooda, is a BJP politician and his father is a surgeon by profession. He did schooling from Delhi Public School before moving to Australia for higher studies. He is Bachelors in Marketing & ..."
38,Actor,Akshaye Khanna,"Top Rated Movies:1)Section 375 (2019) 8.5/10
2)Dil Chahta Hai (2001) 8.2/10
3)Border (1997) 7.9/10
4)Hungama (2003) 7.5/10
5)Gandhi, My Father (2007) 7.4/10
6)Mom (2017) 7.3/10
7)Ittefaq (2017) 7.2/10
8)Aakrosh (2010) 7/10Next Movies:1)Sab Kushal Mangal (2019)
2)The Vanishing Act ???","https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY209_CR87,0,140,209_AL_.jpg
","Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna, and the younger brother of actor Rahul Khanna.After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay ..."
39,Actor,Emraan Hashmi,"Top Rated Movies:1)Once Upon a Time in Mumbaai (2010) 7.4/10
2)Shanghai (2012) 7.3/10
3)Awarapan (2007) 7.3/10
4)Gangster (2006)7.2/10Next Movies:1)Chehre (2020)
2)Mumbai Saga (2020)
3)Captain Nawab ???","https://m.media-amazon.com/images/M/MV5BMjA4Nzk3MDU0OV5BMl5BanBnXkFtZTgwMTEyMDU0OTE@._V1_UX140_CR0,0,140,209_AL_.jpg
","Emraan Hashmi was born 24 March 1979) is an Indian film actor who appears in Hindi languagefilms. Through his successful career, Hashmi has received three Filmfare Award nominations and has established himself as one of the most popular and highest-paid actor of Hindi cinema.Hashmi, member of the ..."
40,Actor,Farhan Akhtar,"Top Rated Movies:1)Bhaag Milkha Bhaag (2013) 8.2/10
2)Zindagi Na Milegi Dobara (2011) 8.1/10
3)Rock On!! (2008) 7.8/10
4)Wazir (2016) 7.2/10
5)Luck by Chance (2009) 7.1/10
6)Karthik Calling Karthik (2010) 7/10Next Movies:1)The Sky Is Pink (2019)
2)Boxer (2020)","https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg
","An accomplished and award-winning producer-director-writer-actor-singer, Farhan Akhtar is the ultimate Bollywood multi-hyphenate. Born in 1974 to prolific Indian film writer and poet, Javed Akhtar and writer-director, Honey Irani , Farhan was raised in an environment where creativity and ..."
41,Actor,Abhishek Bachchan,"Top Rated Movies:1)Guru (2007) 7.8/10
2)Sarkar (2005) 7.7/10
3)Yuva (2004) 7.4/10
4)Paa (2009) 7.2/10
5)Shootout at Lokhandwala (2007) 7.1/10Next Movies:1)Anurag Basu’s Next (2020)
2)The big bull (2020)","https://m.media-amazon.com/images/M/MV5BMTk1NjU1NjkxN15BMl5BanBnXkFtZTcwNDI4MDMzMg@@._V1_UY209_CR7,0,140,209_AL_.jpg
","Aquarian Abhishek Srivastav was born in February 5, 1976, son of Bollywood mega-stars, Jaya Bhaduri and Amitabh Bachchan, brother to Shweta, uncle to her two children (Navya Naveli & Agastye), and the grandson of Harivansh Rai Srivastav, Hindu and Urdu poet, who wrote under the pen-name of ..."
42,Actor,Saif Ali Khan,"Top Rated Movies:1)Dil Chahta Hai (2001) 8.1/10
2)Omkara (2006) 8.1/10
3)Kal Ho Naa Ho (2003) 8/10
4)Ek Hasina Thi (2004) 7.6/10
5)Rehnaa Hai Terre Dil Mein (2001) 7.5/10
6)Parineeta (2005) 7.2/10
7)Being Cyrus (2005) 7.2/10
8)Hum Tum (2004) 7/10Next Movies:1)Laal Kaptaan (2019)
2)Jawaani Jaaneman (2019)
3)Taanaji: The Unsung Warrior (2020)
4)Vikram Veda Remake ???","https://m.media-amazon.com/images/M/MV5BMTUyNjI2NTg3M15BMl5BanBnXkFtZTcwNDEzNDg3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg
","Saif is the son of Bollywood actress, Sharmila Tagore, and Indian cricketer, Mansoor Ali Khan.Both his grandfather, Iftikhar Ali Khan Pataudi, and father were professional cricketers. His mother, Sharmila Tagore, an actress within her own rights. He has two sisters, Bollywood actress Soha Ali Khan,..."
43,Actor,John Abraham,"Top Rated Movies:1)Water (2005) 7.7/10
2)Madras Cafe (2013) 7.7/10
3)Parmanu: The Story of Pokhran (2018) 7.7/10
4)Batla House (2019) 7.5/10
5)Taxi No. 9 2 11: Nau Do Gyarah (2006) 7.2/10
6)No Smoking (2007) 7.2/10
7)Wazir (2016) 7.1/10
8)Viruddh... Family Comes First (2005) 7.1/10
9)Aashayein (2010) 7.1/10
Next Movies:1)Pagalpanti (2019)
2)Mumbai Saga (2020)
3)Attack (2020)
4)Satyameva Jayate 2 (2020)
5)1911 ???","https://m.media-amazon.com/images/M/MV5BMTY1MDUyMjI1N15BMl5BanBnXkFtZTYwMjg4MjA0._V1_UX140_CR0,0,140,209_AL_.jpg
","Born and brought up in Mumbai, India, John Abraham is one of the most successful male models in India. John grew up in a middle class family. His father Abraham John is a Syrian Christian (Nasrani or Saint Thomas Christian) from Aluva, Kerala, India and his mother Firoza Irani is a Zoroastrian ..."
44,Actor,Amrish Puri,"Top Rated Movies:1)Dilwale Dulhania Le Jayenge (1995) 8.2/10
2)Ardh Satya (1983) 8.2/10
3)Gandhi (1982) 8.1/10
4)Mr. India (1987) 7.8/10
5)Nayak: The Real Hero (2001) 7.8/10
6)Damini (1993) 7.8/10
7)Shakti (1982) 7.8/10
8)Ghayal (1990) 7.7/10
9)Indiana Jones and the Temple of Doom (1984) 7.6/10
10)Virasat (1997) 7.5/10","https://m.media-amazon.com/images/M/MV5BYWRlMTk2NWYtYjhjNy00NmRjLTg4NWMtMmM2YjJlN2YwNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg
","Believe it or not, Amrish Puri wanted to become a Bollywood movie hero but failed a screen test in 1954. And what a failure it was! Mr. Puri went on to become one of the most renowned and credible villains in the history of Indian cinema. His most memorable and often quoted role is the character of..."
45,Actor,Danny Denzongpa,"Top Rated Movies:1)Baby (2015) 8/10
2)Agneepath (1990) 7.7/10
3)Ghatak: Lethal (1996) 7.4/10
4)Krantiveer (1994) 7.4/10
5)1942: A Love Story (1994) 7.2/10
6)Seven Years in Tibet (1997) 7.1/10
7)Enthiran (2010) 7.1/10Next Movies:???","https://m.media-amazon.com/images/M/MV5BMzI4Njg3OTcyNF5BMl5BanBnXkFtZTcwNzQzMTYxOA@@._V1_UY209_CR11,0,140,209_AL_.jpg
","Danny, who married Gawa Denzongpa, a Sikkimese princess and niece of the last chogyal from her hometown of Gangtok, currently resides in Juhu in Mumbai. He likes to listen to Nepali folk music especially Nepali flutes. In recent times he has become more selective as to the roles he plays. He does ..."
46,Actor,Anil Kapoor,"Top Rated Movies:1)Slumdog Millionaire (2008) 8/10
2)Parinda (1989) 7.9/10
3)Mr. India (1987) 7.8/10
4)Nayak: The Real Hero (2001) 7.8/10
5)Chameli Ki Shaadi (1986) 7.6/10
6)Woh 7 Din (1983) 7.6/10
7)Virasat (1997) 7.5/10
8)Mission: Impossible - Ghost Protocol (2011) 7.4/10
9)Lamhe (1991) 7.4/10
10)Karma (1986) 7.4/10Next Movies:1)Pagalpanti (2019)
2)Malang (2020)
3)Takht (2021)
4)Abhinav Bindra Biopic ???","https://m.media-amazon.com/images/M/MV5BMjUyMWE5MjUtMDlkMC00ODc0LThkOTgtNjZhNDgyMTU5ZDhlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR0,0,140,209_AL_.jpg
","Living in a Chawl in Tilak Nagar, Punjabi-speaking Anil was born in 1959 to Surinder and Nirmal aka Suchitra Kapoor. He has an elder brother, Boney, a sister, Reena, and a younger brother, Sanjay. His dad used to be Shammi Kapoor's Secretary.A loner, without many friends, he studied in the nearby ..."
47,Actor,Rishi Kapoor,"Top Rated Movies:1)Kapoor & Sons (2016) 7.8/10
2)Damini (1993) 7.8/10
3)Do Dooni Chaar (2010) 7.6/10
4)Karz (1980) 7.6/10
5)Amar Akbar Anthony (1977) 7.5/10
6)Kabhie Kabhie (1976) 7.5/10
7)102 Not Out (2018) 7.5/10
8)Namastey London (2007) 7.3/10
9)Fanaa (2006) 7.2/10
10)D-Day (2013) 7.2/10
11)Naseeb (1981) 7.2/10Next Movies:1)Jhootha Kahin Ka (2018)","https://m.media-amazon.com/images/M/MV5BMjJmNjM1YmUtNTA2Zi00Y2U0LTgyZTItMjQ5MTE4NWJhMDgyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10,0,140,209_AL_.jpg
","Born in south Mumbai, Kapoor is the second son of film director and actor Raj Kapoor. He did his schooling with his brothers at Campion School,Mumbai. His brothers are well-known actors, Randhir Kapoor and Rajiv Kapoor.Rishi Kapoor debuted in his father's 1970 film Mera Naam Joker, playing his ..."
48,Actor,Sanjay Dutt,"Top Rated Movies:1)PK (2014) 8.2/10
2)Munna Bhai M.B.B.S. (2003) 8.2/10
3)Lage Raho Munna Bhai (2006) 8.1/10
4)Vaastav: The Reality (1999) 8/10
5)Parineeta (2005) 7.3/10
6)Saajan (1991) 7.3/10
7)Khal Nayak (1993) 7.3/10
8)Dhamaal (2007) 7.2/10
9)Shootout at Lokhandwala (2007) 7.1/10
10)Viruddh... Family Comes First (2005) 7.1/10
11)Sadak (1991) 7.1/10Next Movies:1)Panipat (2019)
2)Shamshera (2020) or (2021)
3)Sadak 2 (2020)
4)K.G.F: Chapter 2 (2020) or (2021)
5)Bhuj: The Pride of India (2020)
6)Prithviraj (2020) 
7)Torbaaz ???","https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_UY209_CR87,0,140,209_AL_.jpg
","Sanjay Dutt, son of Nargis and Sunil Dutt, was first featured in Rocky (1981), the movie was a box office hit.Sanjay's personal life was exacerbated by drug problems, and he later lost his wife Richa Sharma, to cancer. He was also arrested for having illegal weapons, and was imprisoned. After his ..."
49,Actor,Salman Khan,"Top Rated Movies:1)Andaz Apna Apna (1994) 8.2/10
2)Bajrangi Bhaijaan (2015) 8/10
3)Kuch Kuch Hota Hai (1998) 7.7/10
4)Hum Aapke Hain Koun...! (1994) 7.5/10
5)Hum Dil De Chuke Sanam (1999) 7.5/10
6)Khamoshi: The Musical (1996) 7.5/10
7)Baghban (2003) 7.4/10
8)Maine Pyar Kiya (1989) 7.3/10
9)Saajan (1991) 7.2/10
10)Sultan (2016) 7.1/10
11)Tere Naam (2003) 7.1/10Next Movies:1)Dabangg 3 (2019)
2)Kick 2 (2020) OR (2021)","https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_UY209_CR7,0,140,209_AL_.jpg
","Born on December 27, 1965 Salman Khan is the son of the legendary writer Salim Khan, who penned many super-hits in the yesteryear's like Sholay (1975), Deewaar (1975), and Don (1978). Salman started his acting carrier in 1988 by doing a supporting role in the movie Biwi Ho To Aisi (1988). The ..."
50,Actor,Sunil Shetty,"Top Rated Movies:1)Hera Pheri (2000) 8.2/10
2)Border (1997) 7.9/10
3)Shootout at Lokhandwala (2007) 7.1/10
4)Main Hoon Na (2004) 7/10
5)Mohra (1994) 6.9/10
6)Hulchul (2004) 6.9/10
7)Chup Chup Ke (2006) 6.7/10
8)Phir Hera Pheri (2006) 6.7/10
9)Kaante (2002) 6.6/10
10)Dhadkan (2000) 6.5/10Next Movies:1)Mumbai Saga (2020)
2)Marakkar: Lion of the Arabian Sea (2020)","https://m.media-amazon.com/images/M/MV5BODUwMzUyNTUxMl5BMl5BanBnXkFtZTcwNDM2ODIyOA@@._V1_UY209_CR3,0,140,209_AL_.jpg
","Sunil Shetty made his debut in 1992 with Balwaan (1992), which was not a major hit. Yet his great acting skills got noticed. For two years success eluded him until action thriller Mohra (1994) came along in 1994. Then followed his success streak with a comical film Gopi Kishan (1994) in which he ..."
51,Actor,Jackie Shroff,"Top Rated Movies:1)Border (1997) 7.9/10
2)Parinda (1989) 7.9/10
3)3 Deewarein (2003) 7.9/10
4)Devdas (2002) 7.6/10
5)Rangeela (1995) 7.5/10
6)Karma (1986) 7.4/10
7)Khal Nayak (1993) 7.2/10
8)1942: A Love Story (1994) 7.2/10
9)Ram Lakhan (1989) 6.8/10
10)Mission Kashmir (2000) 6.7/10Next Movies:1)Sooryavanshi (2020)
2)Radhe (2020)","https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR16,0,140,209_AL_.jpg
","Jaikishen was born in the Gujarati-speaking Shroff family on February 1, 1957. His dad's name is Kakubhai, his brother's is Hemant, and they live in Bandra, Bombay in a bungalow named 'Le Pepeyon"".A vegetarian, Jaikishen made his Bollywood debut in a bit-role as a villain in the hit Heera Panna (..."
52,Actor,Govinda,"Top Rated Movies:1)Sanju (2018) 7.9/10
2)Neerja (2016) 7.7/10
3)A Death in the Gunj (2016) 7.5/10
4)Padmaavat (2018) 7/10Next Movies:1)Taish (2020)
2)Beneath a Sea of Lights ???","https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY209_CR14,0,140,209_AL_.jpg
","Govinda was born on December 21, 1963. Govinda has acted in over 120 films since his debut in 1986. Govinda is best-known for his comedy related roles; his powerful contribution in dancing in bollywood is inevitable. He is one of the most successful actors and is definitely the best dancer in ..."
53,Actor,Mithun Chakraborty,"Top Rated Movies:1)Gangs of Wasseypur (2012) 8.2/10
2)The Brawler (2017) 8.1/10
3)Ugly (2013) 8.1/10
4)Gold (2018) 7.4/10Next Movies:1)Saand Ki Aankh (2019)
2)Aadhaar (2019)","https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY209_CR6,0,140,209_AL_.jpg
","Mithun Chakraborty was born on June 16, 1947 in Barisal, Bengal Presidency, British India as Gouranga Chakraborti. He is an actor, known for OMG: Oh My God! (2012), Vivekananda (1994) and Guru (2007). He has been married to Yogeeta Bali since July 1982. They have four children. He was previously ..."
54,Actor,Dharmendra,"Top Rated Movies:1)A Wednesday (2008) 8.2/10
2)Munna Bhai M.B.B.S. (2003) 8.2/10
3)Lage Raho Munna Bhai (2006) 8.1/10
4)Mukkabaaz (2017) 8.1/10
5)My Name Is Khan (2010) 8/10
6)Special Chabbis (2013) 8/10
7)Tanu Weds Manu Returns (2015) 7.7/10
8)Haasil (2003) 7.6/10
9)Madaari (2016) 7.5/10
10)Yahaan (2005) 7.4/10Next Movies:1)Tom Dick and Harry Returns (2018)","https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY209_CR87,0,140,209_AL_.jpg
",Dharmendra is one of the biggest stars of Indian cinema. Dharmendra Deol played the romantic hero in woman centric films from 1960-1968 and became romantic hero from 1968-69 and played the role of action hero from 1971-1997. Dharmendra has appeared in 306 films.He is known as 'Garam' Dharam in ...
55,Actor,Jim Sarbh,"Top Rated Movies:1)Shahid (2012) 8.3/10
2)Article 15 (2019) 8.2/10
3)Tanu Weds Manu Returns (2015) 7.7/10
4)Raanjhanaa (2013) 7.6/10
5)No One Killed Jessica (2011) 7.2/10
Next Movies:1)'83 (2020) (2020)
2)Turram Khan (2020)
3)SherShaah (2020)","https://m.media-amazon.com/images/M/MV5BNzczYmZiYTctYWRkYi00YTgzLWJhMWMtZGUxYTRkYWUzZWQzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR11,0,140,209_AL_.jpg
","Jim Sarbh is an Indian film actor and stage actor-director best known for his fearless and unconventional character choices and serious acting chops.Born 27 August 1987 in Mumbai, to a Parsi family, his mother is a retired physiotherapist, and his father is a former master mariner, and the Regional..."
56,Actor,Viineet Kumar,"Top Rated Movies:1)Anbe Sivam (2003) 8.8/10
2)Vikram Vedha (2017) 8.7/10
3)3 Idiots (2009) 8.4/10
4)Kannathil Muthamittal (2002) 8.4/10
5)Alai Payuthey (2000) 8.3/10
6)Rang De Basanti (2006) 8.2/10
7)Three Dots (2004) 7.8/10
8)Tanu Weds Manu Returns (2015) 7.7/10
9)Guru (2007) 7.7/10
10)Mumbai Meri Jaan (2008) 7.7/10Next Movies:1)Silence ???","https://m.media-amazon.com/images/M/MV5BMmY4MDEyYzMtNjI3NS00ZWMyLWE2ZjQtNmM1YWE1NDQ2NDNmXkEyXkFqcGdeQXVyMTEzNjA2NzM@._V1_UX140_CR0,0,140,209_AL_.jpg
","Viineet Kumar is an actor and writer, known for Mukkabaaz (2017), Gangs of Wasseypur (2012) and Bard of Blood (2019)."
57,Actor,Jimmy Sheirgill,"Top Rated Movies:1)3 Idiots (2009) 8.4/10
2)Rang De Basanti (2006) 8.2/10
3)Golmaal: Fun Unlimited (2006) 7.4/10
4)Life in a Metro (2007) 7.4/10Next Movies:1)Fauji calling ???
2)Tom, Dick and Harry 2 ???","https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY209_CR86,0,140,209_AL_.jpg
","Shergill was born in a Sikh family in Gorakhpur, Uttar Pradesh. He moved to Punjab, the place of his ancestors, in 1985 where he studied in Yadavindra Public School, Patiala and Bikram College Patiala. He learnt acting from Sri Harpal Singh, and then moved to Mumbai to work in the entertainment ..."
58,Actor,Mohammed Zeeshan Ayyub,"Top Rated Movies:1)Iqbal (2005) 8.1/10
2)Dor (2006) 8/10
3)Dil Dosti Etc (2007) 7/10Next Movies:1)Pratichhaya ???
2)Golmaal 5 ???","https://m.media-amazon.com/images/M/MV5BODcyY2JlZTktYTU4ZS00MGY1LTgyY2MtODA4NWUyZDBlNjc5L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg
","Mohammed Zeeshan Ayyub is an actor, known for Raanjhanaa (2013), Raees (2017) and Article 15 (2019)."
59,Actor,Madhavan,"Top Rated Movies:
 
1)Zindagi Na Milegi Dobara (2011) 8.1/10
2)Dev.D (2009) 8/10
3)Oye Lucky! Lucky Oye! (2008) 7.7/10
4)Manorama Six Feet Under (2007) 7.7/10
5)Raanjhanaa (2013) 7.6/10
6)Socha Na Tha (2005) 7.5/10
7)Ek Chalis Ki Last Local (2007) 7.3/10
8)Shanghai (2012) 7.2/10
9)Ahista Ahista (2006) 7/10Next Movies:1)Line of Descent (2019)
2)Jungle Cry ???","https://m.media-amazon.com/images/M/MV5BZjQ4NWIwYzYtOTYwZC00ZDI4LWFmYWEtZjhmNTE3ODVhYzJkXkEyXkFqcGdeQXVyOTc1MzM5MA@@._V1_UY209_CR8,0,140,209_AL_.jpg
","Madhavan was born on June 1, 1970, in a Tamil-speaking family.At the age of 18 his college entrusted him with the responsibility of representing India as a Cultural Ambassador to Canada.A year later he and three others from his college were sent to Britain as army cadets and received training in ..."
60,Actor,Sharman Joshi,"Top Rated Movies:1)Kaththi (2014) 7.9/10
2)Johnny Gaddaar (2007) 7.8/10
3)Wazir (2016) 7.1/10
4)New York (2009) 6.8/10
Next Movies:1)Bypass Road (2019)
2)Firrkie ???","https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg
","Sharman Joshi was born on April 28, 1979 in Bombay, Maharashtra, India. He is an actor, known for 3 Idiots (2009), Rang De Basanti (2006) and Golmaal: Fun Unlimited (2006). He has been married to Prerna Chopra since 2000. They have three children."
61,Actor,Shreyas Talpade,"Top Rated Movies:1)Rang De Basanti (2006) 8.2/10
2)Raag Desh (2017) 8/10
3)Dear Zindagi (2016) 7.6/10
4)Gold 7.4/10
5)Don 2 (2011) 7/10Next Movies:1)Don 3 ???","https://m.media-amazon.com/images/M/MV5BMjZhOTQzNTEtNGY4NS00ZmQxLThkMDEtM2M4NDVjMjc0MWNlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR12,0,140,209_AL_.jpg
","Shreyas Talpade was born on January 27, 1976 in Bombay, Maharashtra, India. He is an actor and director, known for Om Shanti Om (2007), Iqbal (2005) and Dor (2006)."
